id,text,category,severity,lang
1,"እሳት በመካከለኛ ሱቅ ላይ ተነሳ። ሰዎች በፍጥነት እየሸሹ ናቸው።","FIRE",4,"am"
2,"Major car crash near Bole bridge, two people trapped in the vehicle","TRAFFIC",4,"en"
3,"Power line fell during heavy rain, road is blocked, no injuries reported yet","INFRASTRUCTURE",2,"en"
4,"ታካሚ ሰው በመንገድ ላይ ወድቆ ቀርቷል፣ እርዳታ ያስፈልጋል","MEDICAL",3,"am"
5,"Armed robbery reported near Megenagna, suspects fled in a car","CRIME",3,"en"
6,"የቤት ውስጥ እሳት በቀለለ፣ ሰዎች እየተለዩ ናቸው","FIRE",4,"am"
7,"Traffic jam caused by minor fender bender on Ring Road, no injuries","TRAFFIC",1,"en"
8,"የመንግስት ኃይል ተቋርጧል፣ ህዝብ በጨለማ ነው በርካታ ሰዓታት","INFRASTRUCTURE",2,"am"
9,"Elderly woman collapsed in Merkato market, appears to be having breathing difficulty. Medical team needed urgently.","MEDICAL",4,"en"
10,"Noise complaint about loud music near Mexico Square, seems like a non-incident.","OTHER",0,"en"
11,"የመንገድ ዝርፊያ ሪፖርት ተደርጓል፣ አጥቂው በቢላዋ ነበር።","CRIME",3,"am"
12,"Small fire in a trash bin in Kazanchis, quickly contained. No major damage.","FIRE",1,"en"
13,"አምስት ተሽከርካሪዎች የተጋጩበት ከባድ አደጋ በሳሪስ መስመር፣ ሁለት ሰዎች ከባድ ጉዳት ደርሶባቸዋል።","TRAFFIC",5,"am"
14,"A massive sinkhole opened up on the main road, completely blocking all four lanes. It's a huge problem.","INFRASTRUCTURE",5,"en"
15,"Pedestrian hit by a Bajaj near Piassa. Conscious but with serious leg injury.","MEDICAL",4,"en"
16,"A wallet was stolen from a tourist in a coffee shop downtown. The suspect is gone.","CRIME",1,"en"
17,"Fire at an apartment building, people are trapped on the upper floors. Send all available units!","FIRE",5,"en"
18,"አነስተኛ የእሳት አደጋ በኤሌክትሪክ ሽቦ ምክንያት፣ ወዲያውኑ ጠፋ።","FIRE",1,"am"
19,"Minor accident on the highway, just a flat tire and a little delay.","TRAFFIC",1,"en"
20,"የውሃ ቱቦ ፈንድቶ ጎርፍ አስከትሏል፣ የጠቅላላው ሰፈር መንገድ ተዘጋግቷል።","INFRASTRUCTURE",3,"am"
21,"Suspicious package found outside the ministry building. The area is being evacuated.","OTHER",3,"en"
22,"የልብ ድካም የተከሰተ ሰው በቤተክርስቲያን አቅራቢያ፣ ቶሎ እርዳታ ያስፈልጋል።","MEDICAL",5,"am"
23,"Three men breaking into a closed business on Saturday night. Police are responding.","CRIME",3,"en"
24,"Minor traffic congestion due to a ceremonial procession. Not an accident.","TRAFFIC",0,"en"
25,"የመብራት መቆራረጥ በሙሉ ሰፈር ውስጥ፣ ለሰዓታት ቆይቷል እና የትምህርት ቤት ሥራ አቋርጧል።","INFRASTRUCTURE",2,"am"
26,"Man unconscious on the side of the road, unknown cause. Needs immediate medical help.","MEDICAL",5,"en"
27,"Huge wildfire approaching the city outskirts, life-threatening danger to nearby homes.","FIRE",5,"en"
28,"A tree fell across the road near CMC, traffic is slowly diverting.","INFRASTRUCTURE",2,"en"
29,"A drunken fight broke out in a local bar. One person has minor cuts.","CRIME",2,"en"
30,"ድመት በዛፍ ላይ ወጥታ ወርዷል፣ ምንም ችግር የለም።","OTHER",0,"am"
31,"Two vehicles sideswiped each other, no visible damage, just a verbal argument.","TRAFFIC",0,"en"
32,"አንድ ሕፃን ታሞበታል ከፍተኛ ትኩሳት አለው።","MEDICAL",3,"am"
33,"Gas leak reported in a factory in the industrial zone. Possible explosion risk.","FIRE",4,"en"
34,"Attempted car theft near Sarbet, the suspect was scared away by a security guard.","CRIME",2,"en"
35,"Light rain but the power went out. It's just noise, it happens every week.","INFRASTRUCTURE",0,"en"
36,"Minor injury from a fall on a construction site. Not life-threatening, but needs bandaging.","MEDICAL",2,"en"
37,"ሰዎች ያለ ምክንያት መንገድ ላይ እየተጣሉ ነው። ፖሊስ አስፈልጓል።","CRIME",2,"am"
38,"A large truck lost its load of goods on the ring road, causing extreme congestion.","TRAFFIC",3,"en"
39,"የማዕከላዊው የኮምፒውተር መረብ ወድቋል፣ የከተማው አገልግሎት ቆሟል።","INFRASTRUCTURE",4,"am"
40,"Children playing loudly in the park after hours. Not an emergency.","OTHER",0,"en"
41,"እሳት በፍጥነት በአንድ የገበያ አዳራሽ እየተሰራጨ ነው፣ ግዙፍ ጉዳት ሊደርስ ይችላል።","FIRE",5,"am"
42,"Report of illegal dumping of waste in a residential area.","OTHER",1,"en"
43,"አውቶብስ ከመኪና ጋር ተጋጨ፣ በርካታ ሰዎች ተጎድተዋል፣ አምቡላንስ አስፈልጓል።","TRAFFIC",4,"am"
44,"Woman gave birth unexpectedly at home, both mother and baby are stable but need transport.","MEDICAL",2,"en"
45,"Suspicious person loitering and watching cars in the parking lot. Police check needed.","CRIME",1,"en"
46,"የስልክ ገመዶች ተቆርጠዋል፣ የአካባቢው ግንኙነት ተቋርጧል።","INFRASTRUCTURE",1,"am"
47,"Small kitchen fire in a third-floor flat, fire suppression systems working.","FIRE",2,"en"
48,"A dog was rescued from a drain, non-emergency service call.","OTHER",1,"en"
49,"A tourist complained of food poisoning, feeling weak but not critical.","MEDICAL",1,"en"
50,"የባንክ ዘራፊዎች በጠመንጃ ባንክ ዘርፈው ሄደዋል። ብዙ ገንዘብ ወስደዋል::","CRIME",4,"am"
51,"Multiple cars involved in a chain reaction crash on the main road, total gridlock and serious injuries likely.","TRAFFIC",5,"en"
52,"ታካሚ በመስኮት ወድቋል፣ ወዲያውኑ የህክምና እርዳታ ያስፈልጋል::","MEDICAL",5,"am"
53,"Illegal construction activity reported in a protected green zone.","OTHER",1,"en"
54,"A transformer blew up in Lideta, causing localized power outage and smoke.","INFRASTRUCTURE",3,"en"
55,"የመንገድ ዝርፊያ ሙከራ ተደረገ፣ አጥቂው ሽጉጥ ይዞ ነበር ነገር ግን ሸሸ።","CRIME",4,"am"
56,"House fire quickly spreading to the next building.","FIRE",5,"en"
57,"Minor accident, two cars bumped, no visible damage and no police needed.","TRAFFIC",0,"en"
58,"የውሃ መቋረጥ በሰሜናዊው የከተማ ክፍል፣ ህዝቡ ውሃ ፍለጋ ላይ ነው።","INFRASTRUCTURE",2,"am"
59,"Man experiencing severe chest pain and dizziness at a coffee shop.","MEDICAL",4,"en"
60,"Report of someone yelling and swearing outside an apartment complex. Noise issue.","OTHER",0,"en"
61,"በአንድ ትምህርት ቤት አቅራቢያ የልጆች ጠለፋ ሙከራ።","CRIME",4,"am"
62,"Small electrical fire in the basement of a commercial building, already contained.","FIRE",2,"en"
63,"Bus and taxi collision near Stadium, few minor injuries reported.","TRAFFIC",3,"en"
64,"Cable fell onto a busy street, causing minor traffic delays. No danger.","INFRASTRUCTURE",1,"en"
65,"ታካሚ ሰው ሆስፒታል የመግቢያ መንገድ ላይ ወድቆ ቀርቷል፣ ንቃተ-ህሊና አጥቷል።","MEDICAL",5,"am"
66,"Shoplifting incident at a major supermarket, involving low-value goods.","CRIME",1,"en"
67,"Fire alarm triggered by smoke from cooking, not an actual fire.","FIRE",0,"en"
68,"የመኪና ብልሽት በመንገድ ዳር፣ ቀላል መዘግየት ብቻ።","TRAFFIC",1,"am"
69,"Heavy flooding after continuous rain, affecting multiple roads and forcing evacuations.","INFRASTRUCTURE",5,"en"
70,"Elderly man dehydrated and confused due to the heat. Needs immediate fluid replacement.","MEDICAL",3,"en"
71,"Vandalism reported: graffiti sprayed on a bus stop shelter.","OTHER",1,"en"
72,"በአንድ ትልቅ ስብሰባ ላይ በህዝብ መካከል ተኩስ ተከፍቷል፣ በርካታ ሰዎች ተጎድተዋል።","CRIME",5,"am"
73,"Chimney fire in a residential home, mostly smoke damage.","FIRE",3,"en"
74,"A bicycle collided with a parked car, minor property damage only.","TRAFFIC",1,"en"
75,"Road collapse due to heavy vehicle traffic, large infrastructure damage.","INFRASTRUCTURE",4,"en"
76,"የመኪና አደጋ ከባድ ነበር፣ ሁለቱም አሽከርካሪዎች እርዳታ ያስፈልጋቸዋል።","TRAFFIC",4,"am"
77,"A woman is threatening self-harm on a bridge. Police and mental health support urgently required.","MEDICAL",4,"en"
78,"Suspicious vehicle parked illegally for over 24 hours.","OTHER",0,"en"
79,"Attempted burglary at a warehouse, suspects fled empty-handed.","CRIME",2,"en"
80,"እሳት በፍጥነት በአንድ የከተማ ቤት ጣሪያ ላይ እየተሰራጨ ነው።","FIRE",4,"am"
81,"Power pole leaning dangerously after being hit by a car, road closure enforced.","INFRASTRUCTURE",4,"en"
82,"A child has a serious allergic reaction and is having difficulty breathing.","MEDICAL",5,"en"
83,"የባጃጅ አደጋ፣ አንድ ሰው አንገቱ ተጎድቷል።","TRAFFIC",3,"am"
84,"Report of a minor fire on a hillside, possibly controlled burning. Not an incident.","FIRE",0,"en"
85,"Group of people causing disturbance in a public park, littering and shouting.","OTHER",1,"en"
86,"Armed group took hostages inside a commercial bank. High-risk situation.","CRIME",5,"en"
87,"የመብራት ማማ ወደቀ፣ ለብዙ ሰፈሮች የኃይል መቋረጥ።","INFRASTRUCTURE",3,"am"
88,"A person with a broken leg after falling down stairs. Serious but stable.","MEDICAL",3,"en"
89,"A driver swerved to avoid a pedestrian, resulting in a minor collision with a fence.","TRAFFIC",2,"en"
90,"እሳት በአንድ ትንሽ ጎጆ ውስጥ ተነሳ፣ ብዙም ሳይቆይ በነዋሪዎች ጠፋ።","FIRE",1,"am"
91,"Someone is trying to break into a house through a back window.","CRIME",3,"en"
92,"የመንገድ መዘጋት በከተማው የድል በዓል ምክንያት።","OTHER",0,"am"
93,"Heavy landslide on a mountain road, blocking all access and creating isolation for villages.","INFRASTRUCTURE",5,"en"
94,"Man complaining of persistent cough and fever, needs testing.","MEDICAL",1,"en"
95,"A simple parking violation causing minor inconvenience.","TRAFFIC",0,"en"
96,"የሕገ-ወጥ የጦር መሳሪያ ዝውውር መረጃ ተደርሷል። ፖሊስ ምርመራ እያደረገ ነው።","CRIME",4,"am"
97,"Smoke sighted from a factory chimney, appears normal operation.","FIRE",0,"en"
98,"A woman is trapped in an elevator that stopped between floors.","INFRASTRUCTURE",2,"en"
99,"የባዘነ ውሻ ተገኝቷል፣ የአካባቢው እንስሳት መቆጣጠሪያ ያስፈልጋል።","OTHER",1,"am"
100,"Elderly man having a seizure in the street. Immediate medical intervention critical.","MEDICAL",5,"en"
101,"Fire started in a remote area, currently contained but approaching a nearby village.","FIRE",3,"en"
102,"Pedestrian was grazed by a speeding taxi near Sarbet, minor bruises reported.","TRAFFIC",2,"en"
103,"የቤት ውስጥ አለመግባባት፣ ምንም አይነት ስጋት የለም፣ ፖሊስ አያስፈልግም::","OTHER",0,"am"
104,"Major water main broke, flooding the intersection and causing long-term damage to the road foundation.","INFRASTRUCTURE",4,"en"
105,"አንድ ሰው በከፍተኛ ደም መፍሰስ ምክንያት ሆስፒታል ያስፈልገዋል::","MEDICAL",4,"am"
106,"Shop broken into overnight, significant theft of electronics reported.","CRIME",3,"en"
107,"Small explosion in a chemical plant, causing minor injuries to staff and contained quickly.","FIRE",3,"en"
108,"የመኪና ብልሽት በድልድይ ላይ፣ ከፍተኛ ትራፊክ መዘጋት::","TRAFFIC",2,"am"
109,"Local area completely without telephone service for 12 hours due to cable theft.","INFRASTRUCTURE",3,"en"
110,"Child stuck in a fenced yard, parent is present, non-emergency assistance needed.","OTHER",1,"en"
111,"Elderly man found confused and disoriented near Bole International Airport. Needs medical check.","MEDICAL",2,"en"
112,"አንድ ዘራፊ በቢላዋ ሱቅ ዘርፏል፣ ገንዘብ ይዞ ሸሽቷል።","CRIME",3,"am"
113,"Controlled burn went out of control, threatening residential homes.","FIRE",4,"en"
114,"Minor traffic accident on Ring Road, just a small scratch and arguments.","TRAFFIC",1,"en"
115,"የጎርፍ መጥፋት በአንድ ወረዳ፣ ንብረት ከፍተኛ ጉዳት ደርሶበታል።","INFRASTRUCTURE",4,"am"
116,"A patient suffered a serious head injury from a fall on a wet floor.","MEDICAL",4,"en"
117,"Group of teenagers spray painting government property downtown.","CRIME",1,"en"
118,"Fire alarm false activation due to steam in a laundry room.","FIRE",0,"en"
119,"የመኪና አደጋ ቀላል ነበር፣ ማንም አልተጎዳም።","TRAFFIC",0,"am"
120,"Suspicious activity: people looking into homes late at night.","CRIME",1,"en"
121,"Heavy rain caused a large tree to fall, blocking the entrance to a major school.","INFRASTRUCTURE",3,"en"
122,"Man collapsed on the bus, no pulse, immediate CPR required.","MEDICAL",5,"en"
123,"Illegal street vendor blocking pedestrian traffic.","OTHER",0,"en"
124,"Huge warehouse fire, entire structure engulfed, multiple units dispatched.","FIRE",5,"en"
125,"አምስት ሰዎች የሞቱበት የትራፊክ አደጋ፣ አስከፊ ሁኔታ።","TRAFFIC",5,"am"
126,"Road completely closed due to emergency road repair after a pipe burst.","INFRASTRUCTURE",2,"en"
127,"Woman experiencing severe shortness of breath at home.","MEDICAL",4,"en"
128,"የመንገድ ዝርፊያ ተሞክሯል፣ ፖሊስ ደረሰ፣ ተጠርጣሪ ታስሯል።","CRIME",2,"am"
129,"A large hole opened in the road, looks like a major sinkhole starting.","INFRASTRUCTURE",4,"en"
130,"Smell of gas in the building, immediate investigation needed, potential fire hazard.","FIRE",3,"en"
131,"A person is loudly shouting obscenities near a children's playground. Non-emergency.","OTHER",0,"en"
132,"Ambulance needed for a person with a suspected stroke, time is critical.","MEDICAL",5,"en"
133,"Traffic light malfunction causing minor confusion and delays at the intersection.","TRAFFIC",1,"en"
134,"የባንክ ዘራፊዎች በጠመንጃ ባንክ ዘርፈው ሄደዋል። ብዙ ገንዘብ ወስደዋል::","CRIME",4,"am"
135,"Minor fire in a factory ventilation system, quickly contained by staff.","FIRE",2,"en"
136,"Local power outage affecting several homes, appears to be a minor issue with a fuse box.","INFRASTRUCTURE",1,"en"
137,"Woman suffering from severe abdominal pain, needs transport to hospital.","MEDICAL",3,"en"
138,"A car parked illegally, blocking access for emergency vehicles.","OTHER",1,"en"
139,"Three cars crashed, one driver trapped inside the vehicle. Fire department needed.","TRAFFIC",4,"en"
140,"አንድ ሰው ቤቱን በጠመንጃ አስገድዶ ለመዝረፍ እየሞከረ ነው።","CRIME",4,"am"
141,"Accidental rubbish fire, quickly put out with a bucket of water.","FIRE",1,"en"
142,"የአንድ ሰው ህመም እና የንቃተ ህሊና መሳት፣ የህክምና እርዳታ አስፈላጊ ነው።","MEDICAL",5,"am"
143,"Local dispute over property line, no physical harm, just shouting.","OTHER",0,"en"
144,"Broken sewerage pipe spilling waste water onto the street. Health risk.","INFRASTRUCTURE",3,"en"
145,"Minor fender bender near the school, no injuries. Just waiting for insurance.","TRAFFIC",1,"en"
146,"Suspect arrested for possession of illegal narcotics after a chase.","CRIME",3,"en"
147,"የኤሌክትሪክ ሽቦ ችግር፣ ጭስ እየተነሳ ነው።","FIRE",3,"am"
148,"Emergency road closure due to a damaged bridge structure. High scale risk.","INFRASTRUCTURE",5,"en"
149,"Patient with chronic illness needs immediate medication refill and assessment.","MEDICAL",1,"en"
150,"A group of 10 people fighting on the street, multiple minor injuries.","CRIME",2,"en"
151,"A large gas tanker truck overturned on the highway, massive fire risk and total road closure.","TRAFFIC",5,"en"
152,"አምስት ሰዎች የሞቱበት የትራፊክ አደጋ፣ አስከፊ ሁኔታ።","TRAFFIC",5,"am"
153,"የመብራት ማማ ወደቀ፣ ለብዙ ሰፈሮች የኃይል መቋረጥ።","INFRASTRUCTURE",3,"am"
154,"Man suffering from acute food poisoning at a local restaurant, needs medical attention.","MEDICAL",3,"en"
155,"Smell of burning rubber near a market, traced to an overheated vehicle, no fire.","FIRE",0,"en"
156,"Bank security alarm triggered, looks like a false alarm due to maintenance.","CRIME",0,"en"
157,"Large scale flooding in the lower parts of the city, requiring mass evacuation.","INFRASTRUCTURE",5,"en"
158,"የህመም ስሜት የሚሰማው ሰው በመንገድ ላይ ወድቋል፣ እርዳታ ያስፈልጋል።","MEDICAL",3,"am"
159,"Minor accident between a motorcycle and a pedestrian near **Meskel Square**. No serious harm.","TRAFFIC",2,"mix"
160,"A car was stolen overnight from a residential compound.","CRIME",2,"en"
161,"የመንገድ መዘጋት በከተማው የድል በዓል ምክንያት።","OTHER",0,"am"
162,"Fire on the roof of a three-story building, rapidly spreading.","FIRE",4,"en"
163,"Power outage affecting traffic lights near **Bole Medhanialem**, causing chaos.","INFRASTRUCTURE",2,"mix"
164,"Woman threatening to jump from an overpass. Police intervention critical.","MEDICAL",4,"en"
165,"A group of kids throwing stones at parked cars. Minor damage.","CRIME",1,"en"
166,"ከባድ የጭነት መኪና ከሀዲድ ወጥቷል፣ የባቡር መስመር ተጎድቷል።","INFRASTRUCTURE",4,"am"
167,"Man unconscious in a ditch by the side of the road, unknown cause. Life-threatening.","MEDICAL",5,"en"
168,"Road rage incident involving a minor collision and shouting.","TRAFFIC",1,"en"
169,"Someone left a backpack unattended at the bus station. Suspicious item.","OTHER",3,"en"
170,"የንግድ ህንፃ እሳት፣ ሰዎች በጢስ ታፍነዋል።","FIRE",5,"am"
171,"ATM machine vandalized and partially destroyed, no money stolen.","CRIME",2,"en"
172,"Traffic congestion caused by a political rally near **Arat Kilo**. Just a delay.","TRAFFIC",0,"mix"
173,"Gas leak in a school laboratory, immediate evacuation required.","FIRE",4,"en"
174,"አምቡላንስ ለከባድ የልብ ድካም የተከሰተ ሰው ያስፈልጋል::","MEDICAL",5,"am"
175,"Damaged sewer line causing a terrible smell in the neighborhood. Minor disturbance.","INFRASTRUCTURE",1,"en"
176,"A dog barking loudly late at night. Non-incident noise.","OTHER",0,"en"
177,"Two cars involved in a head-on collision, one driver trapped.","TRAFFIC",4,"en"
178,"Armed robbery at a jewelery store, suspects are still on the scene.","CRIME",4,"en"
179,"የመብራት መቆራረጥ በሙሉ ሰፈር ውስጥ፣ ለሰዓታት ቆይቷል።","INFRASTRUCTURE",2,"am"
180,"Child swallowed cleaning fluid, immediate emergency medical transport needed.","MEDICAL",5,"en"
181,"Small brush fire near the university campus, easily contained by students.","FIRE",1,"en"
182,"Vandalism reported at a church property. Minor property damage.","OTHER",1,"en"
183,"የመንገድ ተከላካይ ተሰብሯል፣ ለትራፊክ አደጋ የሚያጋልጥ ነው።","INFRASTRUCTURE",2,"am"
184,"Hit-and-run accident, a pedestrian was seriously injured near the **Jan Meda** area.","TRAFFIC",4,"mix"
185,"Suspect seen trying to pickpocket in a crowded area.","CRIME",1,"en"
186,"ታካሚ በመስኮት ወድቋል፣ ወዲያውኑ የህክምና እርዳታ ያስፈልጋል::","MEDICAL",5,"am"
187,"Electrical short circuit caused a brief fire in an office, extinguished by a fire extinguisher.","FIRE",2,"en"
188,"A minor landslide blocked a secondary road, causing detours.","INFRASTRUCTURE",2,"en"
189,"A person is stuck in a drainage pipe. Non-life-threatening but needs rescue.","MEDICAL",3,"en"
190,"Dispute over loud music at a wedding party. Noise complaint.","OTHER",0,"en"
191,"Attempted kidnapping of a child near **Gofa**, thwarted by passersby.","CRIME",4,"mix"
192,"የአካባቢው የነዳጅ ማደያ በእሳት ተያይዟል፣ የፍንዳታ ስጋት አለ።","FIRE",5,"am"
193,"Two bicycles collided, minimal damage and no serious injuries.","TRAFFIC",0,"en"
194,"Large group of homeless people setting up illegal camp in a park.","OTHER",1,"en"
195,"የንፁህ ውሃ ቧንቧ ተሰብሯል፣ ትልቅ የውሃ መጥፋት።","INFRASTRUCTURE",3,"am"
196,"Man complaining of sudden paralysis in his arm and leg. Needs urgent assessment.","MEDICAL",4,"en"
197,"Shots fired during a domestic dispute, no injuries confirmed yet.","CRIME",3,"en"
198,"Minor rear-end collision, cars pulled over to the side of the road.","TRAFFIC",1,"en"
199,"A woman is trapped after a wall collapsed on her in a construction site. Critical.","INFRASTRUCTURE",5,"en"
200,"Small fire in a garage, limited to one car.","FIRE",3,"en"
201,"A teenager fainted at a school event due to dehydration. Minor, needs water.","MEDICAL",1,"en"
202,"የአውቶቡስ አደጋ በከፍተኛ ፍጥነት፣ ብዙ ጉዳት አድርስዋል።","TRAFFIC",5,"am"
203,"A stray animal causing minor disturbance in the street. Non-incident.","OTHER",0,"en"
204,"Thieves broke into an industrial kitchen and stole food supplies.","CRIME",1,"en"
205,"የመሬት መንሸራተት የከተማውን መግቢያ ዘግቶታል።","INFRASTRUCTURE",4,"am"
206,"Patient needs urgent transfer to another hospital for specialized treatment.","MEDICAL",2,"en"
207,"Fire at a local restaurant, contained to the kitchen area.","FIRE",2,"en"
208,"Two-car accident on a residential street, minor injuries only.","TRAFFIC",2,"en"
209,"A pipe burst in the fifth floor of a business building, water damage is spreading.","INFRASTRUCTURE",3,"en"
210,"Suspect broke a window to enter a government building.","CRIME",3,"en"
211,"የመንገድ መዝጋት በድንገተኛ ጊዜ **Lancha** አካባቢ።","TRAFFIC",3,"mix"
212,"Elderly woman with a severe nosebleed that won't stop. Needs hospital.","MEDICAL",3,"en"
213,"Small electrical fire in a light pole, quickly extinguished by rain.","FIRE",1,"en"
214,"A vehicle was submerged in a deep puddle after heavy rain. Needs tow, no injuries.","OTHER",1,"en"
215,"አንድ ሰው ቤቱን በጠመንጃ አስገድዶ ለመዝረፍ እየሞከረ ነው።","CRIME",4,"am"
216,"Pedestrian hit by a car while crossing the street, minor scrape on the leg.","TRAFFIC",1,"en"
217,"የድሮ ሕንፃ ግድግዳ በከፊል ወድቋል፣ አደጋ ሊፈጥር ይችላል።","INFRASTRUCTURE",4,"am"
218,"A person with diabetes is having a hypoglycemic episode, needs sugar.","MEDICAL",4,"en"
219,"Massive fire engulfing a large factory complex, huge economic damage.","FIRE",5,"en"
